"filename", "language", "C++", "Python", "comment", "blank", "total"
"/Users/shiyu./Desktop/CP-Code/APCS/2023-10/P1-m370.cpp", "C++", 25, 0, 0, 1, 26
"/Users/shiyu./Desktop/CP-Code/APCS/2023-10/P2-m371.cpp", "C++", 58, 0, 2, 1, 61
"/Users/shiyu./Desktop/CP-Code/APCS/2023-10/P3-m372+.cpp", "C++", 67, 0, 6, 6, 79
"/Users/shiyu./Desktop/CP-Code/APCS/2023-10/P3-m372.cpp", "C++", 69, 0, 4, 6, 79
"/Users/shiyu./Desktop/CP-Code/APCS/2023-10/p1-m370.cpp", "C++", -25, 0, 0, -1, -26
"/Users/shiyu./Desktop/CP-Code/APCS/2023-10/p2-m371.cpp", "C++", -58, 0, -2, -1, -61
"/Users/shiyu./Desktop/CP-Code/APCS/2024-01/P3-m933.cpp", "C++", 65, 0, 5, 6, 76
"/Users/shiyu./Desktop/CP-Code/APCS/2024-06/P1.cpp", "C++", 24, 0, 0, 1, 25
"/Users/shiyu./Desktop/CP-Code/APCS/2024-06/P2.cpp", "C++", 19, 0, 0, 1, 20
"/Users/shiyu./Desktop/CP-Code/APCS/2024-06/P3.cpp", "C++", 33, 0, 0, 3, 36
"/Users/shiyu./Desktop/CP-Code/APCS/2024-06/P4.cpp(undone).cpp", "C++", 52, 0, 3, 1, 56
"/Users/shiyu./Desktop/CP-Code/CPE/2024-04/p1-a737.cpp", "C++", 37, 0, 0, 1, 38
"/Users/shiyu./Desktop/CP-Code/CPE/2024-04/p2-c036.cpp", "C++", 50, 0, 0, 1, 51
"/Users/shiyu./Desktop/CP-Code/CPE/2024-04/p3-e268.cpp", "C++", 46, 0, 0, 1, 47
"/Users/shiyu./Desktop/CP-Code/CPE/2024-04/p4+.cpp", "C++", 31, 0, 1, 2, 34
"/Users/shiyu./Desktop/CP-Code/CPE/2024-04/p4-n684.cpp", "C++", 30, 0, 1, 3, 34
"/Users/shiyu./Desktop/CP-Code/CPE/2024-04/p5-d132.cpp", "C++", 70, 0, 0, 3, 73
"/Users/shiyu./Desktop/CP-Code/CPE/2024-04/p6-a388.cpp", "C++", 37, 0, 0, 2, 39
"/Users/shiyu./Desktop/CP-Code/CPE/2024-04/p7-a451.cpp", "C++", 47, 0, 1, 3, 51
"/Users/shiyu./Desktop/CP-Code/CodeForces/#950(Div.3)/pA.cpp", "C++", 69, 0, 11, 3, 83
"/Users/shiyu./Desktop/CP-Code/CodeForces/#950(Div.3)/pB.cpp", "C++", 82, 0, 12, 4, 98
"/Users/shiyu./Desktop/CP-Code/CodeForces/EDU #166(Div.2)/pA.cpp", "C++", 60, 0, 11, 3, 74
"/Users/shiyu./Desktop/CP-Code/Template-P.cpp", "C++", 1, 0, 0, -1, 0
"/Users/shiyu./Desktop/CP-Code/test.cpp", "C++", 19, 0, 0, 0, 19
"/Users/shiyu./Desktop/CP-Code/test.py", "Python", 0, 0, -86, -23, -109
"Total", "-", 908, 0, -31, 26, 903
