"filename", "language", "C++", "comment", "blank", "total"
"/Users/shiyu./Desktop/CP-Code/IONC/D3/pJ.cpp", "C++", 35, 4, 5, 44
"/Users/shiyu./Desktop/CP-Code/IONC/D4/pC+.cpp", "C++", 35, 7, 7, 49
"/Users/shiyu./Desktop/CP-Code/IONC/D4/pJ.cpp", "C++", 28, 0, 1, 29
"/Users/shiyu./Desktop/CP-Code/IONC/D4/pN++.cpp", "C++", 50, 10, 7, 67
"/Users/shiyu./Desktop/CP-Code/IONC/D4/pN+.cpp", "C++", 43, 2, 3, 48
"/Users/shiyu./Desktop/CP-Code/IONC/D4/pN.cpp", "C++", 48, 1, 3, 52
"/Users/shiyu./Desktop/CP-Code/SA/0912/ABC220-C.cpp", "C++", 30, 0, 2, 32
"/Users/shiyu./Desktop/CP-Code/SA/0912/ABC353-C.cpp", "C++", 22, 0, 1, 23
"/Users/shiyu./Desktop/CP-Code/SA/0912/d193.cpp", "C++", 17, 0, 1, 18
"/Users/shiyu./Desktop/CP-Code/SA/0919/ARC082-C.cpp", "C++", 17, 0, 2, 19
"/Users/shiyu./Desktop/CP-Code/SA/0919/Conformity.cpp", "C++", 33, 1, 2, 36
"/Users/shiyu./Desktop/CP-Code/SA/0919/Hot Springs.cpp", "C++", 16, 1, 2, 19
"/Users/shiyu./Desktop/CP-Code/SA/0919/Packagemanager.cpp", "C++", 39, 0, 3, 42
"/Users/shiyu./Desktop/CP-Code/SA/0919/Phone List.cpp", "C++", 24, 0, 1, 25
"/Users/shiyu./Desktop/CP-Code/SA/0919/Pivot.cpp", "C++", 28, 0, 2, 30
"/Users/shiyu./Desktop/CP-Code/SA/0919/Streets Ahead.cpp", "C++", 26, 0, 3, 29
"/Users/shiyu./Desktop/CP-Code/SA/0919/UVa-p836.cpp", "C++", 30, 0, 2, 32
"/Users/shiyu./Desktop/CP-Code/SA/0919/typical90-058.cpp", "C++", 33, 0, 3, 36
"/Users/shiyu./Desktop/CP-Code/SA/0919/ Massive Card Game.cpp", "C++", 15, 0, 1, 16
"/Users/shiyu./Desktop/CP-Code/SA/test.cpp", "C++", 6, 0, 2, 8
"/Users/shiyu./Desktop/CP-Code/YTP/2024_Pre/p0.cpp", "C++", 25, 0, 1, 26
"/Users/shiyu./Desktop/CP-Code/YTP/2024_Pre/p2.cpp", "C++", 77, 14, 3, 94
"/Users/shiyu./Desktop/CP-Code/YTP/2024_Pre/p8.cpp", "C++", 49, 2, 5, 56
"/Users/shiyu./Desktop/CP-Code/ZeroJudge/Basic Syntax/U4/a058.cpp", "C++", 8, 33, 4, 45
"/Users/shiyu./Desktop/CP-Code/ZeroJudge/Basic Syntax/U6/a693.cpp", "C++", 22, 32, 7, 61
"/Users/shiyu./Desktop/CP-Code/ZeroJudge/Basic Syntax/U6/b130.cpp", "C++", -1, 0, 0, -1
"/Users/shiyu./Desktop/CP-Code/ZeroJudge/Basic Syntax/U6/e693.cpp", "C++", -31, -1, -3, -35
"/Users/shiyu./Desktop/CP-Code/ZeroJudge/a694.cpp", "C++", 25, 25, 11, 61
"/Users/shiyu./Desktop/CP-Code/ZeroJudge/b304.cpp", "C++", -16, 45, 3, 32
"/Users/shiyu./Desktop/CP-Code/ZeroJudge/b343.cpp", "C++", 45, 1, 5, 51
"/Users/shiyu./Desktop/CP-Code/ZeroJudge/c547.cpp", "C++", 17, 0, 3, 20
"/Users/shiyu./Desktop/CP-Code/ZeroJudge/d046.cpp", "C++", 14, 15, 4, 33
"/Users/shiyu./Desktop/CP-Code/ZeroJudge/d133.cpp", "C++", 22, 0, 3, 25
"/Users/shiyu./Desktop/CP-Code/ZeroJudge/d305.cpp", "C++", 17, 15, 6, 38
"/Users/shiyu./Desktop/CP-Code/ZeroJudge/d483.cpp", "C++", 6, 0, 1, 7
"/Users/shiyu./Desktop/CP-Code/ZeroJudge/d498.cpp", "C++", 10, 4, 1, 15
